4136,
4144,HITOM+BASS
4152,LOTOM
4160,HITOM
4168,LOTOM
4176,HITOM
4184,LOTOM
4192,CYMBAL+SNARE+BASS
4200,SNARE+FLTOM
4208,HITOM
4216,HITOM
4224,HITOM+BASS
4232,LOTOM
4240,HITOM
4248,LOTOM+FLTOM
4256,SNARE+FLTOM
4264,
4272,HITOM+BASS
4280,LOTOM
4288,HITOM
4296,LOTOM
4304,HITOM
4312,HIHAT+LOTOM
4320,HIHAT+SNARE
4328,
4336,FLTOM
4344,
4352,HITOM+BASS
4360,LOTOM
4368,HITOM
4376,LOTOM+FLTOM
4384,SNARE+FLTOM
4392,
4400,HITOM+BASS
4408,LOTOM
4416,HITOM
4424,LOTOM
4432,HITOM
4440,HIHAT+LOTOM
4448,HIHAT+SNARE
4456,
4464,FLTOM
4472,
4480,HITOM+BASS
4488,LOTOM
4496,HITOM
4504,LOTOM+FLTOM
4512,SNARE+FLTOM
4520,
4528,HITOM+BASS
4536,LOTOM
4544,HITOM
4552,LOTOM
4560,HITOM
4568,HIHAT+LOTOM
4576,HIHAT+SNARE
4584,
4592,FLTOM
4600,
4608,HITOM+BASS
4616,LOTOM
4624,HITOM
4632,LOTOM+FLTOM
4640,SNARE+FLTOM
4648,
4656,HITOM+BASS
4664,LOTOM
4672,HITOM
4680,LOTOM
4688,HITOM
4696,LOTOM
4704,CYMBAL+SNARE+BASS
4712,SNARE+FLTOM
4720,HITOM
4728,HITOM
4736,HITOM+BASS
4744,LOTOM
4752,HITOM
4760,LOTOM+FLTOM
4768,SNARE+FLTOM
4776,
4784,HITOM+BASS
4792,LOTOM
4800,HITOM
4808,LOTOM
4816,HITOM
4824,HIHAT+LOTOM
4832,HIHAT+SNARE
4840,
4848,FLTOM
4856,
4864,HITOM+BASS
4872,LOTOM
4880,HITOM
4888,LOTOM+FLTOM
4896,SNARE+FLTOM
4904,
4912,HITOM+BASS
4920,LOTOM
4928,HITOM
4936,LOTOM
4944,HITOM
4952,HIHAT+LOTOM
4960,HIHAT+SNARE
4968,
4976,FLTOM
4984,
4992,HITOM+BASS
5000,LOTOM
5008,HITOM
5016,LOTOM+FLTOM
5024,SNARE+FLTOM
5032,
5040,HITOM+BASS
5048,LOTOM
5056,HITOM
5064,LOTOM
5072,HITOM
5080,HIHAT+LOTOM
5088,HIHAT+SNARE
5096,
5104,FLTOM
5112,
5120,HITOM+BASS
5128,LOTOM
5136,HITOM
5144,LOTOM+FLTOM
5152,SNARE+FLTOM
5160,
5168,HITOM+BASS
5176,LOTOM
5184,HITOM
5192,LOTOM
5200,HITOM
